image_a,image_b,label,session_a,session_b,inliers,inlier_ratio,mean_parallax
../data/KakaoTalk_Photo_2025-08-04-22-03-01 020.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-04-24 030.jpeg,positive,1,1,464,1.0,0.0
../data/KakaoTalk_Photo_2025-08-04-22-04-18 008.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-03-02 021.jpeg,positive,2,2,447,1.0,0.0
../data/KakaoTalk_Photo_2025-08-04-22-04-23 024.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-03-01 018.jpeg,positive,4,4,471,1.0,0.0
../data/KakaoTalk_Photo_2025-08-04-22-03-00 017.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-04-18 007.jpeg,positive,6,6,451,1.0,0.0
../data/KakaoTalk_Photo_2025-08-04-22-02-59 015.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-04-24 026.jpeg,positive,7,7,398,1.0,0.0
../data/KakaoTalk_Photo_2025-08-04-22-04-24 028.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-02-59 014.jpeg,positive,8,8,400,1.0,0.0
../data/KakaoTalk_Photo_2025-08-04-22-04-24 028.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-02-59 016.jpeg,positive,8,8,220,0.9205020920502092,4.276352405548096
../data/KakaoTalk_Photo_2025-08-04-22-04-24 028.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-04-24 027.jpeg,positive,8,8,220,0.9205020920502092,4.276352405548096
../data/KakaoTalk_Photo_2025-08-04-22-02-59 014.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-02-59 016.jpeg,positive,8,8,220,0.9205020920502092,4.276352405548096
../data/KakaoTalk_Photo_2025-08-04-22-02-59 014.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-04-24 027.jpeg,positive,8,8,220,0.9205020920502092,4.276352405548096
../data/KakaoTalk_Photo_2025-08-04-22-02-59 016.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-04-24 027.jpeg,positive,8,8,391,1.0,0.0
../data/KakaoTalk_Photo_2025-08-04-22-04-24 029.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-02-58 013.jpeg,positive,9,9,391,1.0,0.0
../data/KakaoTalk_Photo_2025-08-04-22-04-19 012.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-03-03 030.jpeg,positive,13,13,383,1.0,0.0
../data/KakaoTalk_Photo_2025-08-04-22-04-19 012.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-04-19 013.jpeg,positive,13,13,60,0.4878048780487805,68.68666076660156
../data/KakaoTalk_Photo_2025-08-04-22-03-03 030.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-04-19 013.jpeg,positive,13,13,60,0.4878048780487805,68.68666076660156
../data/KakaoTalk_Photo_2025-08-04-22-02-58 012.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-04-21 017.jpeg,positive,14,14,399,1.0,0.0
../data/KakaoTalk_Photo_2025-08-04-22-02-58 012.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-02-58 011.jpeg,positive,14,14,39,0.3611111111111111,62.42076873779297
../data/KakaoTalk_Photo_2025-08-04-22-04-21 017.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-02-58 011.jpeg,positive,14,14,39,0.3611111111111111,62.42076873779297
../data/KakaoTalk_Photo_2025-08-04-22-04-21 016.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-02-58 010.jpeg,positive,15,15,344,1.0,0.0
../data/KakaoTalk_Photo_2025-08-04-22-04-21 016.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-04-20 014.jpeg,hard_negative,15,15,7,0.05511811023622047,54.0336799621582
../data/KakaoTalk_Photo_2025-08-04-22-04-21 016.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-02-57 009.jpeg,hard_negative,15,15,7,0.05511811023622047,54.0336799621582
../data/KakaoTalk_Photo_2025-08-04-22-04-21 016.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-02-57 008.jpeg,hard_negative,15,15,9,0.08256880733944955,61.5987548828125
../data/KakaoTalk_Photo_2025-08-04-22-04-21 016.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-04-20 015.jpeg,hard_negative,15,15,9,0.08256880733944955,61.5987548828125
../data/KakaoTalk_Photo_2025-08-04-22-02-58 010.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-04-20 014.jpeg,hard_negative,15,15,7,0.05511811023622047,54.0336799621582
../data/KakaoTalk_Photo_2025-08-04-22-02-58 010.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-02-57 009.jpeg,hard_negative,15,15,7,0.05511811023622047,54.0336799621582
../data/KakaoTalk_Photo_2025-08-04-22-02-58 010.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-02-57 008.jpeg,hard_negative,15,15,9,0.08256880733944955,61.5987548828125
../data/KakaoTalk_Photo_2025-08-04-22-02-58 010.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-04-20 015.jpeg,hard_negative,15,15,9,0.08256880733944955,61.5987548828125
../data/KakaoTalk_Photo_2025-08-04-22-04-20 014.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-02-57 009.jpeg,positive,15,15,494,1.0,0.0
../data/KakaoTalk_Photo_2025-08-04-22-04-20 014.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-02-57 008.jpeg,hard_negative,15,15,32,0.2222222222222222,89.11805725097656
../data/KakaoTalk_Photo_2025-08-04-22-04-20 014.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-04-20 015.jpeg,hard_negative,15,15,32,0.2222222222222222,89.11805725097656
../data/KakaoTalk_Photo_2025-08-04-22-02-57 009.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-02-57 008.jpeg,hard_negative,15,15,32,0.2222222222222222,89.11805725097656
../data/KakaoTalk_Photo_2025-08-04-22-02-57 009.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-04-20 015.jpeg,hard_negative,15,15,32,0.2222222222222222,89.11805725097656
../data/KakaoTalk_Photo_2025-08-04-22-02-57 008.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-04-20 015.jpeg,positive,15,15,366,1.0,0.0
../data/KakaoTalk_Photo_2025-08-04-22-04-22 020.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-04-22 019.jpeg,positive,16,16,74,0.4774193548387097,11.08050537109375
../data/KakaoTalk_Photo_2025-08-04-22-02-57 006.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-04-18 006.jpeg,positive,18,18,331,0.9706744868035191,0.1805529147386551
../data/KakaoTalk_Photo_2025-08-04-22-02-57 006.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-02-57 007.jpeg,positive,18,18,331,0.9706744868035191,0.1805529147386551
../data/KakaoTalk_Photo_2025-08-04-22-02-57 006.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-04-17 001.jpeg,positive,18,18,461,1.0,0.0
../data/KakaoTalk_Photo_2025-08-04-22-04-18 006.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-02-57 007.jpeg,positive,18,18,460,1.0,0.0
../data/KakaoTalk_Photo_2025-08-04-22-04-18 006.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-04-17 001.jpeg,positive,18,18,331,0.9706744868035191,0.1805529147386551
../data/KakaoTalk_Photo_2025-08-04-22-02-57 007.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-04-17 001.jpeg,positive,18,18,331,0.9706744868035191,0.1805529147386551
../data/KakaoTalk_Photo_2025-08-04-22-02-56 004.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-04-18 005.jpeg,positive,20,20,434,1.0,0.0
../data/KakaoTalk_Photo_2025-08-04-22-03-03 029.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-04-18 004.jpeg,positive,21,21,452,1.0,0.0
../data/KakaoTalk_Photo_2025-08-04-22-04-17 003.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-02-56 001.jpeg,positive,23,23,461,1.0,0.0
../data/KakaoTalk_Photo_2025-08-04-22-03-03 028.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-04-19 010.jpeg,positive,24,24,476,1.0,0.0
../data/KakaoTalk_Photo_2025-08-04-22-03-02 023.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-03-02 024.jpeg,hard_negative,26,26,31,0.18674698795180722,6.6810479164123535
../data/KakaoTalk_Photo_2025-08-04-22-03-02 023.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-03-02 025.jpeg,hard_negative,26,26,9,0.0625,56.64448928833008
../data/KakaoTalk_Photo_2025-08-04-22-03-02 023.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-03-02 026.jpeg,hard_negative,26,26,8,0.05714285714285714,50.52574920654297
../data/KakaoTalk_Photo_2025-08-04-22-03-02 023.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-03-02 027.jpeg,hard_negative,26,26,8,0.05263157894736842,46.294715881347656
../data/KakaoTalk_Photo_2025-08-04-22-03-02 024.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-03-02 025.jpeg,hard_negative,26,26,8,0.058394160583941604,58.939231872558594
../data/KakaoTalk_Photo_2025-08-04-22-03-02 024.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-03-02 026.jpeg,hard_negative,26,26,8,0.05333333333333334,62.74652862548828
../data/KakaoTalk_Photo_2025-08-04-22-03-02 024.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-03-02 027.jpeg,hard_negative,26,26,7,0.043478260869565216,35.396881103515625
../data/KakaoTalk_Photo_2025-08-04-22-03-02 025.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-03-02 026.jpeg,hard_negative,26,26,8,0.0625,47.66387939453125
../data/KakaoTalk_Photo_2025-08-04-22-03-02 025.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-03-02 027.jpeg,hard_negative,26,26,7,0.04929577464788732,76.2685775756836
../data/KakaoTalk_Photo_2025-08-04-22-03-02 026.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-03-02 027.jpeg,hard_negative,26,26,3,0.02127659574468085,56.3089599609375
../data/KakaoTalk_Photo_2025-08-04-22-04-18 009.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-04-19 011.jpeg,hard_negative,27,27,9,0.0703125,53.52623748779297
../data/KakaoTalk_Photo_2025-08-04-22-04-18 009.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-04-22 023.jpeg,hard_negative,27,27,8,0.05755395683453238,47.41036605834961
../data/KakaoTalk_Photo_2025-08-04-22-04-19 011.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-04-22 023.jpeg,hard_negative,27,27,9,0.06923076923076923,40.54750061035156
../data/KakaoTalk_Photo_2025-08-04-22-02-57 005.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-04-19 011.jpeg,strong_negative,19,27,0,0.0,inf
../data/KakaoTalk_Photo_2025-08-04-22-02-58 012.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-02-59 015.jpeg,strong_negative,14,7,0,0.0,inf
../data/KakaoTalk_Photo_2025-08-04-22-04-24 030.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-02-56 003.jpeg,strong_negative,1,17,0,0.0,inf
../data/KakaoTalk_Photo_2025-08-04-22-02-56 003.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-04-21 017.jpeg,strong_negative,17,14,0,0.0,inf
../data/KakaoTalk_Photo_2025-08-04-22-04-23 024.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-02-57 005.jpeg,strong_negative,4,19,0,0.0,inf
../data/KakaoTalk_Photo_2025-08-04-22-04-22 021.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-04-23 025.jpeg,strong_negative,11,5,0,0.0,inf
../data/KakaoTalk_Photo_2025-08-04-22-02-56 001.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-04-23 025.jpeg,strong_negative,23,5,0,0.0,inf
../data/KakaoTalk_Photo_2025-08-04-22-04-22 023.jpeg,../data/KakaoTalk_Photo_2025-08-04-22-03-03 029.jpeg,strong_negative,27,21,0,0.0,inf
